"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"SD","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","49","","01/01/2014","12/31/2014"
"TN","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","61","","01/01/2014","12/31/2014"
"TX","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","52","","01/01/2014","12/31/2014"
"UT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","56","","01/01/2014","12/31/2014"
"VA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","71","","01/01/2014","12/31/2014"
"VI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"VT","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","73","","01/01/2014","12/31/2014"
"WA","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","58","","01/01/2014","12/31/2014"
"WI","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","70","","01/01/2014","12/31/2014"
"WV","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","62","","01/01/2014","12/31/2014"
"WY","Heart Attack or Chest Pain","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","56","","01/01/2014","12/31/2014"
"AK","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","01/01/2014","12/31/2014"
"AL","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"AR","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","01/01/2014","12/31/2014"
"AS","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"AZ","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"CA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"CO","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"CT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","01/01/2014","12/31/2014"
"DC","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","91","","01/01/2014","12/31/2014"
"DE","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"FL","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"GA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"GU","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"HI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"IA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"ID","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"IL","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"IN","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"KS","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","01/01/2014","12/31/2014"
"KY","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"LA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","94","","01/01/2014","12/31/2014"
"MA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"MD","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"ME","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","01/01/2014","12/31/2014"
"MI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"MN","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"MO","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","01/01/2014","12/31/2014"
"MP","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"MS","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","94","","01/01/2014","12/31/2014"
"MT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","01/01/2014","12/31/2014"
"NC","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"ND","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","94","","01/01/2014","12/31/2014"
"NE","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"NH","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"NJ","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"NM","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","01/01/2014","12/31/2014"
"NV","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"NY","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"OH","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"OK","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","01/01/2014","12/31/2014"
"OR","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"PA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"PR","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"RI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","01/01/2014","12/31/2014"
"SC","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"SD","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"TN","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","96","","01/01/2014","12/31/2014"
"TX","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","95","","01/01/2014","12/31/2014"
"UT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
"VA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","98","","01/01/2014","12/31/2014"
"VI","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"VT","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","99","","01/01/2014","12/31/2014"
"WA","Heart Attack or Chest Pain","Aspirin at Arrival","OP_4","97","","01/01/2014","12/31/2014"
