ASC_Name,Provider_ID,NPI,City,State,ZIP_Code,ASC6_SSChecklist,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Nervous_System,ASC_7_Musculoskeletal,ASC_7_Skin,ASC_7_Genitourinary,ASC7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date
Southern Alabama Surgery Center,01C0001010,1346349164,Dothan,AL,36301,YES,12774,0,12663,0,50,61,0,,01/01/2012,12/31/2012
The Surgery Center,01C0001035,1356321293,Oxford,AL,36203,YES,9049,1285,1249,5541,833,51,90,,01/01/2012,12/31/2012
"Madison Surgery Center, LLC",01C0001044,1356369755,Madison,AL,35758,YES,4279,2036,180,1932,110,15,6,,01/01/2012,12/31/2012
Montgomery Surgical Center,01C0001000,1376634683,Montgomery,AL,36093,YES,5986,1796,1831,968,1233,158,0,,01/01/2012,12/31/2012
Decatur Ambulatory Surgery Center,01C0001018,1386782787,Decatur,AL,35603,YES,4418,2743,1220,0,381,74,0,,01/01/2012,12/31/2012
Montgomery Eye Surgery Center,01C0001026,1457331274,Montgomery,AL,36106,YES,3855,0,3743,0,0,112,0,,01/01/2012,12/31/2012
Shelby Baptist Ambulatory Surgery Center LLC,01C0001046,1538117841,Alabaster,AL,35007,YES,7859,5078,1265,1139,171,48,158,,01/01/2012,12/31/2012
"Alabama Digestive Health and Endoscopy Center, LLC",01C0001051,1588854772,Birmingham,AL,35209,YES,8112,8112,0,0,0,0,0,,01/01/2012,12/31/2012
Surgery Center of Cullman,01C0001048,1669481255,Cullman,AL,35055,YES,4720,3067,680,522,436,15,0,,01/01/2012,12/31/2012
Tuscaloosa Surgical Center,01C0001017,1679544050,Tuscaloosa,AL,35406,YES,5932,2142,838,1807,1058,87,0,,01/01/2012,12/31/2012
Vision Correction Center,01C0001041,1689735250,Tuscaloosa,AL,35406,YES,1679,0,1679,0,0,0,0,,01/01/2012,12/31/2012
Dauphin West Surgery Center,01C0001021,1700884608,Mobile,AL,36608,YES,7074,1267,3514,123,2046,124,0,,01/01/2012,12/31/2012
Surgicare of Mobile,01C0001009,1720044522,Mobile,AL,36606,YES,7999,813,5176,1294,115,587,14,,01/01/2012,12/31/2012
Gardendale Surgical Associates,01C0001054,1730318353,Gardendale,AL,35071,YES,2362,1515,256,396,195,0,0,,01/01/2012,12/31/2012
The Orthopaedic Center at Spring Hill,01C0001042,1740288679,Mobile,AL,36608,YES,9775,0,0,6295,2997,480,3,,01/01/2012,12/31/2012
"Medplex Outpatient Surgery Center, LTD",01C0001020,1750499950,Birmingham,AL,35244,YES,5450,0,2,4684,742,22,0,,01/01/2012,12/31/2012
Mobile Surgery Center,01C0001002,1760447866,Mobile,AL,36608,YES,17919,2,1818,10228,5369,429,73,,01/01/2012,12/31/2012
The Birmingham Surgery Center,01C0001027,1790756237,Birmingham,AL,35209,YES,11984,6538,1908,1693,1798,45,2,,01/01/2012,12/31/2012
The Surgery Center of Huntsville,01C0001013,1841342789,Huntsville,AL,35801,YES,21514,3369,4398,6505,6254,948,40,,01/01/2012,12/31/2012
Bay Eyes Surgery Center,01C0001045,1881618403,Fairhope,AL,36532,YES,405,0,405,0,0,0,0,,01/01/2012,12/31/2012
Outpatient Services East,01C0001014,1932298718,Birmingham,AL,35235,YES,18134,11185,1451,4657,618,26,197,,01/01/2012,12/31/2012
Gadsden Surgery Center,01C0001011,1962467951,Gadsden,AL,35901,YES,6006,1153,951,2087,1315,475,25,,01/01/2012,12/31/2012
"Surgery Center of Decatur, LP",01C0001043,1962513788,Decatur,AL,35601,YES,5819,4680,0,488,631,19,1,,01/01/2012,12/31/2012
"Florence Surgery Center, LP",01C0001022,1972568830,Florence,AL,35630,YES,5456,526,2125,1544,1242,18,1,,01/01/2012,12/31/2012
St. Vincent's Outpatient Surgery Center,01C0001055,1972805299,Birmingham,AL,35202,YES,263,7,97,0,53,106,0,,01/01/2012,12/31/2012
Physicians Day Surgery Center,04C0001010,1023057916,Pine Bluff,AR,71603,YES,2282,0,2182,0,0,100,0,,01/01/2012,12/31/2012
Lowery Surgery Center,04C0001009,1043208283,Searcy,AR,72143,YES,484,0,472,0,0,12,0,,01/01/2012,12/31/2012
Baker Ambulatory Surgery Center,04C0001047,1053301473,Conway,AR,72032,YES,1275,0,1275,0,0,0,0,,01/01/2012,12/31/2012
"Endoscopy Center of Arkansas, LLC",04C0001060,1063470730,Little Rock,AR,72207,YES,7653,7653,0,0,0,0,0,,01/01/2012,12/31/2012
"Surgery By Vold Vision, LLC",04C0001084,1073888103,Fayetteville,AR,72704,YES,0,0,0,0,0,0,0,,01/01/2012,12/31/2012
"Aoc Surgery Center, Inc.",04C0001002,1093795031,Little Rock,AR,72205,YES,3,0,0,0,0,3,0,,01/01/2012,12/31/2012
"Orthoarkansas Surgery Center, LLC",04C0001045,1093799405,Little Rock,AR,72205,YES,4694,0,0,3431,1248,15,0,,01/01/2012,12/31/2012
"Doctors Surgery Center, P.A.",04C0001020,1114951365,West Memphis,AR,72301,YES,971,0,962,0,0,9,0,,01/01/2012,12/31/2012
Spring Creek Surgery Center,04C0001054,1134177256,Hot Springs,AR,71901,YES,770,0,0,0,0,770,0,,01/01/2012,12/31/2012
"Mountain Home Surgery Center, Inc.",04C0001017,1205978780,Mountain Hom,AR,72653,YES,1975,0,1485,0,490,0,0,,01/01/2012,12/31/2012
Cooper Clinic,04C0001028,1215024575,Ft. Smith,AR,72913,YES,7695,7455,240,0,0,0,0,,01/01/2012,12/31/2012
"The Gastro-Intestinal Center, Inc.",04C0001013,1215919329,Little Rock,AR,72205,YES,6769,6769,0,0,0,0,0,,01/01/2012,12/31/2012
"The Surgical Pavilion, LLC",04C0001043,1245297829,Little Rock,AR,72205,YES,896,0,9,0,102,785,0,,01/01/2012,12/31/2012
North River Surgery Center,04C0001035,1265404669,Sherwood,AR,72120,YES,2762,2176,586,0,0,0,0,,01/01/2012,12/31/2012
Conway Endoscopy Center,04C0001049,1265439632,Conway,AR,72034,YES,1653,1653,0,0,0,0,0,,01/01/2012,12/31/2012
"Pine Bluff Endoscopy Center, LLC",04C0001066,1275541427,Pine Bluff,AR,71603,YES,1842,1842,0,0,0,0,0,,01/01/2012,12/31/2012
Doctors Surgery Center of Texarkana,04C0001030,1275574154,Texarkana,AR,71854,YES,866,0,866,0,0,0,0,,01/01/2012,12/31/2012
"Physicians Surgery Center, LLC",04C0001058,1295851137,Blytheville,AR,72315,YES,631,0,629,0,0,2,0,,01/01/2012,12/31/2012
Advanced Ambulatory Surgery Center,04C0001080,1326228370,Fayetteville,AR,72703,YES,168,0,0,0,0,168,0,,01/01/2012,12/31/2012
Arkansas Outpatient Eye Surgery LLC,04C0001068,1386737021,Fayetteville,AR,72703,YES,2441,0,2270,0,171,0,0,,01/01/2012,12/31/2012
Endoscopy Center of Little Rock,04C0001056,1396727418,Little Rock,AR,72212,YES,3480,3480,0,0,0,0,0,,01/01/2012,12/31/2012
Arkansas Specialty Orthopaedic Center,04C0001040,1437110293,Little Rock,AR,72205,YES,8260,0,0,0,8260,0,0,,01/01/2012,12/31/2012
Conway Outpatient Surgery Center,04C0001034,1447212204,Conway,AR,72032,YES,1427,1427,0,0,0,0,0,,01/01/2012,12/31/2012
"Jonesboro Surgery Center, LLC",04C0001048,1457379364,Jonesboro,AR,72401,YES,1705,0,1064,0,641,0,0,,01/01/2012,12/31/2012
"Seymour Operations, LLC",04C0001072,1487776365,Little Rock,AR,72205,YES,5530,0,5527,0,0,3,0,,01/01/2012,12/31/2012
"The Pain Centers, LLC",04C0001000,1578643607,Jonesboro,AR,72401,YES,2218,0,0,2218,0,0,0,,01/01/2012,12/31/2012
Physicians Day Surgery Center,04C0001055,1588603351,Little Rock,AR,72223,YES,2307,0,2173,0,0,134,0,,01/01/2012,12/31/2012
"South Central Endoscopy, LLC",04C0001081,1588802987,Hot Springs,AR,71901,YES,4139,4139,0,0,0,0,0,,01/01/2012,12/31/2012
"Executive Park Surgery Center of Fort Smith, Inc.",04C0001059,1598068306,Fort Smith,AR,72903,YES,1609,0,1609,0,0,0,0,,01/01/2012,12/31/2012
Outpatient Surgery Center of Jonesboro,04C0001053,1598758153,Jonesboro,AR,72401,YES,10280,7311,234,295,1437,731,272,,01/01/2012,12/31/2012
South Arkansas Surgery Center,04C0001075,1619037066,El Dorado,AR,71730,YES,3758,1551,1096,166,940,5,0,,01/01/2012,12/31/2012
Little Rock Surgery Center,04C0001006,1659340404,Little Rock,AR,72205,YES,2452,33,21,1728,662,8,0,,01/01/2012,12/31/2012
Arkansas Gastroenterology,04C0001033,1669424339,Hot Springs,AR,71913,YES,3203,3203,0,0,0,0,0,,01/01/2012,12/31/2012
Surgery Partners of Jonesboro,04C0001012,1710931134,Jonesboro,AR,72401,YES,4002,0,4002,0,0,0,0,,01/01/2012,12/31/2012
Jefferson Surgery Center,04C0001038,1710934542,Pine Bluff,AR,71603,YES,1013,5,43,80,283,9,593,,01/01/2012,12/31/2012
"Outpatient Surgery Center, Inc.",04C0001070,1730132853,Mountain Hom,AR,72653,YES,708,0,668,0,0,40,0,,01/01/2012,12/31/2012
Little Rock Diagnostic Clinic ASC,04C0001022,1760418891,Little Rock,AR,72205,YES,8051,8051,0,0,0,0,0,,01/01/2012,12/31/2012
Boozmanhof Eye Surgery and Laser Center,04C0001029,1780658245,Rogers,AR,72756,YES,2719,0,2537,0,0,182,0,,01/01/2012,12/31/2012
"Springhill Surgery Center, LLC",04C0001044,1790742328,North Little,AR,72117,YES,10294,7963,692,957,647,30,5,,01/01/2012,12/31/2012
"Mercy Outpatient Surgery Center, LLC",04C0001046,1831182641,Ft. Smith,AR,72917,YES,2086,99,816,161,818,192,0,,01/01/2012,12/31/2012
"Vision Group ASC, LLC",04C0001065,1902860679,Ft. Smith,AR,72901,YES,2209,0,2209,0,0,0,0,,01/01/2012,12/31/2012
Digestive Disease Center,04C0001031,1922016898,Pine Bluff,AR,71613,YES,500,500,0,0,0,0,0,,01/01/2012,12/31/2012
"The Fayetteville ASC, LLC",04C0001019,1922070911,Fayetteville,AR,72703,YES,5990,5990,0,0,0,0,0,,01/01/2012,12/31/2012
North Hills Surgery Center,04C0001041,1922187103,Fayetteville,AR,72703,YES,3988,1022,1780,248,908,12,18,,01/01/2012,12/31/2012
"Arkansas Endoscopy Center, PA",04C0001024,1972574200,Little Rock,AR,72205,YES,1481,1481,0,0,0,0,0,,01/01/2012,12/31/2012
Central Arkansas Surgical Center,04C0001082,1992034763,Russellville,AR,72802,YES,1299,51,0,475,771,0,2,,01/01/2012,12/31/2012
Sun City West Surgery Center,03C0001317,1013195569,Surprise,AZ,85374,YES,2607,1166,0,946,173,55,267,,01/01/2012,12/31/2012
Tucson Gastroenterology Institute,03C0001240,1023015989,Tucson,AZ,85712,YES,5992,5992,0,0,0,0,0,,01/01/2012,12/31/2012
Arizona Eye Institute & Cosmetic Laser Center Inc.,03C0001261,1023074291,Sun City Wes,AZ,85375,YES,1637,0,1637,0,0,0,0,,01/01/2012,12/31/2012
Mcdowell Ambulatory Surgery Center,03C0001296,1033250618,Phoenix,AZ,85006,YES,2983,0,0,2712,271,0,0,,01/01/2012,12/31/2012
Santan Surgery Center,03C0001339,1033400619,Gilbert,AZ,85295,YES,342,0,0,5,242,1,94,,01/01/2012,12/31/2012
Cottonwood Day Surgery Center,03C0001308,1043222417,Cottonwood,AZ,86326,YES,783,0,0,777,6,0,0,,01/01/2012,12/31/2012
North Valley Endoscopy Center,03C0001295,1043239338,Phoenix,AZ,85032,YES,7081,7081,0,0,0,0,0,,01/01/2012,12/31/2012
"Southwest Endoscopy & Surgicenter, LLC",03C0001313,1063693588,Gilbert,AZ,85234,YES,11401,11401,0,0,0,0,0,,01/01/2012,12/31/2012
Outpatient Surgical Care,03C0001041,1073579256,Phoenix,AZ,85021,YES,2054,0,2054,0,0,0,0,,01/01/2012,12/31/2012
Digestive Health Specialists,03C0001286,1073588356,Scottsdale,AZ,85255,YES,7013,7013,0,0,0,0,0,,01/01/2012,12/31/2012
"Cigna Healthcare of Arizona, Inc.",03C0001281,1073627162,Gilbert,AZ,85234,YES,2040,2040,0,0,0,0,0,,01/01/2012,12/31/2012
"Eye Surgery Centers of Arizona, LLC",03C0001330,1073845087,Phoenix,AZ,85016,YES,7090,0,7090,0,0,0,0,,01/01/2012,12/31/2012
Prescott Outpatient Surgical Center,03C0001043,1083624670,Prescott,AZ,86301,YES,4040,844,1,2123,1046,25,1,,01/01/2012,12/31/2012
"Chandler Endoscopy Center, LLC",03C0001279,1093086183,Chandler,AZ,85224,YES,7969,7969,0,0,0,0,0,,01/01/2012,12/31/2012
Bdpec ASC Sedona/Sedona Surgery Center,03C0001287,1093088304,Sedona,AZ,86336,NO,0,0,0,0,0,0,0,,01/01/2012,12/31/2012
"Barnet Dulaney Perkins Eye Center, PLLC",03C0001342,1104199413,Sun City,AZ,85351,NO,0,0,0,0,0,0,0,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001255,1104866904,Show Low,AZ,85901,YES,110,0,110,0,0,0,0,,01/01/2012,12/31/2012
Valley Outpatient Surgery Center,03C0001044,1104894369,Mesa,AZ,85201,YES,1946,0,1946,0,0,0,0,,01/01/2012,12/31/2012
Kokopelli Eye Care,03C0001301,1114140019,Prescott,AZ,86301,YES,393,0,393,0,0,0,0,,01/01/2012,12/31/2012
"Pinnacle Surgery Center of Peoria, LLC",03C0001302,1114171097,Peoria,AZ,85381,YES,2183,38,0,1415,287,3,440,,01/01/2012,12/31/2012
Benner Estrella Surgery Center,03C0001284,1114962321,Phoenix,AZ,85037,YES,3313,2519,70,246,468,0,10,,01/01/2012,12/31/2012
North Scottsdale Ambulatory Surgery Center,03C0001275,1144333881,Scottsdale,AZ,85258,YES,15455,0,0,15246,209,0,0,,01/01/2012,12/31/2012
"Scottsdale Surgical Partners, LLC",03C0001285,1154326650,Scottsdale,AZ,85258,YES,6826,669,0,3729,1951,142,335,,01/01/2012,12/31/2012
"The Ambulatory Surgi-Center at Fmc, LLC",03C0001225,1154378909,Flagstaff,AZ,86001,YES,417,134,0,35,102,2,144,,01/01/2012,12/31/2012
"Warner Park Surgery Center, LLP",03C0001052,1154387710,Chandler,AZ,85225,YES,2989,0,1884,0,1071,34,0,,01/01/2012,12/31/2012
"Troon Pain Management, LLC",03C0001331,1154483808,Chandler,AZ,85224,YES,3339,0,0,3206,133,0,0,,01/01/2012,12/31/2012
East Valley Endoscopy,03C0001260,1164414447,Mesa,AZ,85206,YES,9875,9875,0,0,0,0,0,,01/01/2012,12/31/2012
"Surgitech Centers, Inc.",03C0001018,1184814402,Scottsdale,AZ,85251,NO,22,0,0,0,16,6,0,,01/01/2012,12/31/2012
Barnet Dulaney Surgery Center Safford,03C0001216,1194782672,Safford,AZ,85546,YES,329,0,325,0,0,4,0,,01/01/2012,12/31/2012
Adobe Surgery Center,03C0001078,1205821097,Tucson,AZ,85712,YES,4445,4445,0,0,0,0,0,,01/01/2012,12/31/2012
Kokopelli Eye Care,03C0001099,1205858875,Prescott Val,AZ,86314,YES,662,0,662,0,0,0,0,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001082,1215983135,Kingman,AZ,86401,YES,625,0,625,0,0,0,0,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001217,1225075435,Cottonwood,AZ,86326,YES,1171,0,1171,0,0,0,0,,01/01/2012,12/31/2012
Facilities Billing Associates,03C0001332,1225359359,Scottsdale,AZ,85262,YES,1246,0,0,1172,74,0,0,,01/01/2012,12/31/2012
"Metro Surgery Center, LP",03C0001045,1235137944,Phoenix,AZ,85029,YES,11090,2,1033,9326,717,12,0,,01/01/2012,12/31/2012
Spectra Eye Institute LLC,03C0001237,1245233923,Sun City,AZ,85351,YES,7468,0,7468,0,0,0,0,,01/01/2012,12/31/2012
"Surgery Center of Gilbert, LLC",03C0001253,1245239656,Mesa,AZ,85206,YES,2028,8,1331,17,25,358,289,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001213,1255368551,Lake Havasu,AZ,86403,YES,659,0,659,0,0,0,0,,01/01/2012,12/31/2012
"Surgicenter of America, LP",03C0001001,1255377446,Phoenix,AZ,85006,YES,9025,4022,664,550,1784,1181,824,,01/01/2012,12/31/2012
Barnet Dulaney Perkins Eye Center (Bdpec) ASC Tucson,03C0001340,1255604534,Tucson,AZ,85704,NO,0,0,0,0,0,0,0,,01/01/2012,12/31/2012
Cigna Medical Group,03C0001223,1265536270,Phoenix,AZ,85012,YES,3070,479,2449,0,139,0,3,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001042,1275569121,Casa Grande,AZ,85122,YES,2121,0,2121,0,0,0,0,,01/01/2012,12/31/2012
"Arizona Surgical Specialists Center, LLC",03C0001280,1285767822,Tempe,AZ,85283,YES,11837,0,0,11728,109,0,0,,01/01/2012,12/31/2012
Scottsdale Eye Surgery Center,03C0001063,1295710002,Scottsdale,AZ,85251,YES,6023,0,5308,0,0,715,0,,01/01/2012,12/31/2012
Barnet Dulaney Perkins Eye Center (Bdpec) ASC Mesa,03C0001343,1306119615,Mesa,AZ,85206,NO,0,0,0,0,0,0,0,,01/01/2012,12/31/2012
"St. Joseph's Outpatient Surgery Center, LLC",03C0001265,1306843222,Phoenix,AZ,85013,YES,3441,1815,12,529,548,534,3,,01/01/2012,12/31/2012
Arizona Kidney Disease and Hypertension Surgery Cent,03C0001236,1316902208,Phoenix,AZ,85012,YES,0,0,0,0,0,0,0,,01/01/2012,12/31/2012
Premier Surgery Center of Tucson,03C0001040,1316909633,Tucson,AZ,85711,YES,2160,2160,0,0,0,0,0,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001206,1326089715,Prescott,AZ,86301,YES,512,0,512,0,0,0,0,,01/01/2012,12/31/2012
Rummel Eye Care PC Eye Surgery Service,03C0001202,1336107036,Prescott,AZ,86301,YES,1243,0,1243,0,0,0,0,,01/01/2012,12/31/2012
"Phoenix Orthopaedic Ambulatory Center, LLC",03C0001256,1336131143,Phoenix,AZ,85008,YES,6543,0,0,4105,2358,80,0,,01/01/2012,12/31/2012
Arizona Digestive Center,03C0001283,1336272657,Scottsdale,AZ,85260,NO,3466,3466,0,0,0,0,0,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001231,1356383640,Safford,AZ,85546,YES,529,0,529,0,0,0,0,,01/01/2012,12/31/2012
Thunderbird Endoscopy Center,03C0001239,1386823854,Glendale,AZ,85304,YES,8123,8123,0,0,0,0,0,,01/01/2012,12/31/2012
Sun City West Ambulatory Surgery Center,03C0001291,1417921537,Sun City Wes,AZ,85375,YES,7917,2236,170,5358,83,70,0,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001050,1417985102,Yuma,AZ,85364,YES,1852,0,1852,0,0,0,0,,01/01/2012,12/31/2012
"Catalina Surgery Center, LLC",03C0001293,1417994831,Tucson,AZ,85741,YES,3446,0,3129,0,0,317,0,,01/01/2012,12/31/2012
Mayo Clinic Hospital,03C0001087,1427029396,Phoenix,AZ,85054,YES,12706,11523,1097,0,70,16,0,,01/01/2012,12/31/2012
Tri City Surgery Center,03C0001297,1437101433,Prescott,AZ,86301,YES,5624,3225,0,1012,1231,142,14,,01/01/2012,12/31/2012
Tucson Surgery Center,03C0001242,1437191731,Tucson,AZ,85712,YES,5769,2242,908,771,1559,282,7,,01/01/2012,12/31/2012
Banner Thunderbird Surgery Center,03C0001204,1447287818,Glendale,AZ,85306,YES,8781,825,197,4637,712,926,1484,,01/01/2012,12/31/2012
"Biltmore Surgical Partners, LLC",03C0001326,1477886406,Phoenix,AZ,85016,YES,23208,105,0,21296,1793,12,2,,01/01/2012,12/31/2012
"Carondelet St. Mary's - Northwest, LLC",03C0001289,1487716650,Tucson,AZ,85741,YES,2148,30,1138,91,707,157,25,,01/01/2012,12/31/2012
"Gynesurgical, LLC",03C0001324,1487888426,Phoenix,AZ,85006,YES,97,0,0,0,0,0,97,,01/01/2012,12/31/2012
James A. Tammaro MD PC,03C0001024,1497727093,Lake Havasu,AZ,86403,YES,2513,0,2513,0,0,0,0,,01/01/2012,12/31/2012
Arizona Skin Cancer Surgery Center,03C0001274,1518969773,Tucson,AZ,85741,YES,1161,0,0,0,0,1161,0,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001036,1528000817,Sun City,AZ,85351,YES,768,0,768,0,0,0,0,,01/01/2012,12/31/2012
"Mesa Surgical Center, LLC",03C0001316,1528284767,Mesa,AZ,85206,YES,7287,992,0,3299,1592,9,1395,,01/01/2012,12/31/2012
"Advanced Laser and Surgicenter of Arizona, PC",03C0001270,1538113238,Gilbert,AZ,85234,YES,135,0,135,0,0,0,0,,01/01/2012,12/31/2012
Barnet Dulaney Perkins Eye Center (Bdpec) ASC Phoeni,03C0001341,1538432844,Phoenix,AZ,85016,NO,0,0,0,0,0,0,0,,01/01/2012,12/31/2012
The Orthopedic Surgery Center of AZ,03C0001299,1548203888,Phoenix,AZ,85024,YES,3584,0,0,139,3444,1,0,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001057,1558305086,Phoenix,AZ,85032,YES,812,0,812,0,0,0,0,,01/01/2012,12/31/2012
"Eye Institute of Roswell, TNE",03C0001021,1578535233,Sun City,AZ,85351,YES,3664,0,3283,0,0,381,0,,01/01/2012,12/31/2012
Rf Eye PC,03C0001054,1588665269,Sierra Vista,AZ,85635,YES,1086,0,1086,0,0,0,0,,01/01/2012,12/31/2012
North Scottsdale Outpatient Surgery Center,03C0001325,1588806756,Scottsdale,AZ,85260,YES,11,0,0,0,11,0,0,,01/01/2012,12/31/2012
Barnet Dulaney Surgery Center Show Low,03C0001201,1598700635,Show Low,AZ,85901,YES,793,0,778,0,0,15,0,,01/01/2012,12/31/2012
"Surgical Elite of Avondale, LLC",03C0001298,1598996894,Avondale,AZ,85392,YES,562,327,0,4,153,5,73,,01/01/2012,12/31/2012
The Eye Clinic,03C0001310,1609039056,Cottonwood,AZ,86326,YES,766,0,684,0,82,0,0,,01/01/2012,12/31/2012
Ahwatukee Surgery Center,03C0001312,1609057017,Phoenix,AZ,85048,YES,85,0,0,0,77,8,0,,01/01/2012,12/31/2012
Desert Pain Institute,03C0001254,1609930676,Mesa,AZ,85206,YES,12070,0,0,11998,72,0,0,,01/01/2012,12/31/2012
Desert Cliffs Surgery Center,03C0001233,1639431653,Mesa,AZ,85202,YES,597,0,0,0,0,597,0,,01/01/2012,12/31/2012
Camp Lowell Surgery Center,03C0001290,1649223124,Tucson,AZ,85712,YES,6274,19,4975,282,791,195,12,,01/01/2012,12/31/2012
Swagel Wootton Eye Center,03C0001020,1659343648,Mesa,AZ,85206,YES,1957,0,1957,0,0,0,0,,01/01/2012,12/31/2012
Premier Endoscopy Center,03C0001334,1659683662,Gilbert,AZ,85296,YES,1786,1786,0,0,0,0,0,,01/01/2012,12/31/2012
"Yuma Regional Outpatient Surgical Center, LLC",03C0001307,1669668281,Yuma,AZ,85364,YES,3368,3,1353,787,1020,205,0,,01/01/2012,12/31/2012
Northern Arizona Eye Associates,03C0001214,1679539688,Flagstaff,AZ,86001,YES,642,0,642,0,0,0,0,,01/01/2012,12/31/2012
Canyon Surgery Center,03C0001224,1689755928,Phoenix,AZ,85015,YES,1657,0,24,877,680,76,0,,01/01/2012,12/31/2012
Pain-Md's Ambulatory Surgery Center,03C0001319,1689843963,Glendale,AZ,85306,YES,2920,0,0,2920,0,0,0,,01/01/2012,12/31/2012
Barnet Dulaney Surgery Center Flagstaff,03C0001200,1699702068,Flagstaff,AZ,86001,YES,600,0,568,0,0,32,0,,01/01/2012,12/31/2012
"Surgery Center of Tempe, LLC",03C0001056,1699777540,Tempe,AZ,85282,YES,5938,0,0,5444,485,9,0,,01/01/2012,12/31/2012
"Southeast Valley Endoscopy Center, LLC",03C0001314,1699943290,Chandler,AZ,85224,YES,8856,8856,0,0,0,0,0,,01/01/2012,12/31/2012
Southwestern Eye Center,03C0001262,1700828423,Sierra Vista,AZ,85635,YES,523,0,523,0,0,0,0,,01/01/2012,12/31/2012
Scottsdale Endoscopy Center,03C0001249,1710942370,Scottsdale,AZ,85258,YES,1995,1995,0,0,0,0,0,,01/01/2012,12/31/2012
"Banner Canyon Springs Surgery Center, LP",03C0001309,1720113913,Gilbert,AZ,85234,YES,4712,109,1522,726,1839,274,242,,01/01/2012,12/31/2012
Scottsdale Eye Institute PLC,03C0001244,1720125156,Mesa,AZ,85206,YES,549,0,549,0,0,0,0,,01/01/2012,12/31/2012
Arizona Institute of Eye Surgery,03C0001215,1720278047,Prescott,AZ,86301,YES,748,0,692,0,0,56,0,,01/01/2012,12/31/2012
Summit Surgery & Recovery Care Center,03C0001071,1740370501,Flagstaff,AZ,86001,YES,6236,0,0,4390,1843,3,0,,01/01/2012,12/31/2012
