State,ASC6_Measure_State,Avg_ASC7_Gastrointestinal_state,Avg_ASC7_Eye_state,Avg_ASC7_Nervous_System_state,Avg_ASC7_Musculoskeletal_state,Avg_ASC7_Skin_state,Avg_ASC7_Genitourinary_state,Avg_ASC_7_Volume_state,median_ASC7_Gastrointestinal_state,median_ASC7_Eye_state,median_ASC7_Nervous_System_state,median_ASC7_Musculoskeletal_state,median_ASC7_Skin_state,median_ASC7_Genitourinary_state,median_ASC_7_Volume_state
NV,0.9796,2424.88,1154.09,2172.56,711.48,46.5,183.25,3398.41,1367.5,508,1561,338,24,31,3526
NY,0.9659,4787.06,2853.21,2311.94,1382.7,162.09,47.94,5924.08,3165.5,1438,1045,999.5,50,15,4356.5
OH,1,11211.51,2026.47,1567.25,697.19,169.91,1318.13,7692.17,2377,1470,1132,337,50,345,2858
OK,0.9737,3478.17,1786.45,1167.33,641.67,209.67,430,3658.25,1072.5,1133,883,162,16,13,2703
OR,1,3086.68,1032.94,879.73,685.67,108.88,634.75,2788.84,885,525,527,251.5,31,35.5,1619
PA,0.9904,3234.43,1538.02,1804.25,705.75,324.72,483.43,3789.61,2273,1238.5,984,297.5,79,169,3332.5
PR,0.9333,1855.67,3074.91,557,888.75,202,217.25,3521.47,127.5,2402,209.5,358,131.5,116.5,2402
RI,1,5766,2526.33,1061,1470.5,497.5,256,5476.7,3473,894,1061,1470.5,497.5,190,4698
SC,0.9836,3814.91,1953.5,1565.39,704.04,153.14,513.27,4314.54,3045,1590.5,569,474,53,103,3095
SD,1,2669.2,1327.67,448.67,774.67,114.71,2040.33,2127.07,2793,1175.5,19,107,63,2711,2152
TN,0.9832,3637.45,1605.64,2854.02,805.63,188.05,1295.96,4903.99,2590,1016,1472,587.5,49,34,3572
TX,0.993,3421.63,1557.96,1491.75,620.66,129.69,235.44,4281.57,1658.5,926,760,354.5,28,92,3530.5
UT,0.931,2380.29,1172.35,409.07,757.33,91.28,134.27,2893.25,1617,896,324,630,81,79,2593.5
VA,1,1343.36,2025.35,994.57,1116.41,176.52,537.63,3930.79,162,1042,478,1025,57,106.5,2813
VT,1,,2000,,,,,2000,,2000,,,,,2000
WA,0.9872,3264.26,1218.41,1203.43,1128.9,388.09,546.57,2878.37,1965.5,925,857,574,15,192,1890.5
WI,0.9841,2530.25,1352.65,1744.63,580.02,127,213.79,3382.95,1542,604,720,243,24,110,2432.5
WV,1,2048.33,973.63,696.25,1059.4,239.4,193.5,2974.5,745,929.5,345,217,64,193.5,2297.5
WY,0.9333,1396.11,397.88,249.14,410,53.29,44.5,1400.13,752,278.5,211,174,31,38.5,1120
