"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"NH","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2014","12/31/2014"
"NJ","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.07","","01/01/2014","12/31/2014"
"NM","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.88","","01/01/2014","12/31/2014"
"NV","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.04","","01/01/2014","12/31/2014"
"NY","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2014","12/31/2014"
"OH","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2014","12/31/2014"
"OK","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","","01/01/2014","12/31/2014"
"OR","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.88","","01/01/2014","12/31/2014"
"PA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2014","12/31/2014"
"PR","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2014","12/31/2014"
"RI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.00","","01/01/2014","12/31/2014"
"SC","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.97","","01/01/2014","12/31/2014"
"SD","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.87","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2014","12/31/2014"
"TN","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.00","","01/01/2014","12/31/2014"
"TX","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.04","","01/01/2014","12/31/2014"
"UT","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2014","12/31/2014"
"VA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","","01/01/2014","12/31/2014"
"VI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2014","12/31/2014"
"VT","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2014","12/31/2014"
"WA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2014","12/31/2014"
"WI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.94","","01/01/2014","12/31/2014"
"WV","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.95","","01/01/2014","12/31/2014"
"WY","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.94","","01/01/2014","12/31/2014"
