"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"VI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","2.495","","01/01/2014","12/31/2014"
"VT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.329","","01/01/2014","12/31/2014"
"WA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.419","","01/01/2014","12/31/2014"
"WI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.335","","01/01/2014","12/31/2014"
"WV","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.465","","01/01/2014","12/31/2014"
"WY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.552","","01/01/2014","12/31/2014"
"AK","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.942","","01/01/2014","12/31/2014"
"AL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.674","","01/01/2014","12/31/2014"
"AR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.607","","01/01/2014","12/31/2014"
"AS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2014","12/31/2014"
"AZ","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.539","","01/01/2014","12/31/2014"
"CA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.466","","01/01/2014","12/31/2014"
"CO","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.493","","01/01/2014","12/31/2014"
"CT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.518","","01/01/2014","12/31/2014"
"DC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.573","","01/01/2014","12/31/2014"
"DE","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.555","","01/01/2014","12/31/2014"
"FL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.541","","01/01/2014","12/31/2014"
"GA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.635","","01/01/2014","12/31/2014"
"GU","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","2.903","","01/01/2014","12/31/2014"
"HI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.377","","01/01/2014","12/31/2014"
"IA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.527","","01/01/2014","12/31/2014"
"ID","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.456","","01/01/2014","12/31/2014"
"IL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.498","","01/01/2014","12/31/2014"
"IN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.622","","01/01/2014","12/31/2014"
"KS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.546","","01/01/2014","12/31/2014"
"KY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.593","","01/01/2014","12/31/2014"
"LA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.678","","01/01/2014","12/31/2014"
"MA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.461","","01/01/2014","12/31/2014"
"MD","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.570","","01/01/2014","12/31/2014"
"ME","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","1.139","","01/01/2014","12/31/2014"
"MI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.404","","01/01/2014","12/31/2014"
"MN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.466","","01/01/2014","12/31/2014"
"MO","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.402","","01/01/2014","12/31/2014"
"MP","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2014","12/31/2014"
"MS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.847","","01/01/2014","12/31/2014"
"MT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","1.022","","01/01/2014","12/31/2014"
"NC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.434","","01/01/2014","12/31/2014"
"ND","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.588","","01/01/2014","12/31/2014"
"NE","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.719","","01/01/2014","12/31/2014"
"NH","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.905","","01/01/2014","12/31/2014"
"NJ","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.655","","01/01/2014","12/31/2014"
"NM","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.817","","01/01/2014","12/31/2014"
"NV","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.562","","01/01/2014","12/31/2014"
"NY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.453","","01/01/2014","12/31/2014"
"OH","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.418","","01/01/2014","12/31/2014"
"OK","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.466","","01/01/2014","12/31/2014"
"OR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.412","","01/01/2014","12/31/2014"
"PA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.443","","01/01/2014","12/31/2014"
"PR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.763","","01/01/2014","12/31/2014"
"RI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.700","","01/01/2014","12/31/2014"
"SC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.572","","01/01/2014","12/31/2014"
"SD","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.469","","01/01/2014","12/31/2014"
"TN","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.513","","01/01/2014","12/31/2014"
"TX","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.487","","01/01/2014","12/31/2014"
"UT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.504","","01/01/2014","12/31/2014"
"VA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.388","","01/01/2014","12/31/2014"
"VI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","5.530","","01/01/2014","12/31/2014"
"VT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.651","","01/01/2014","12/31/2014"
"WA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.496","","01/01/2014","12/31/2014"
"WI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.409","","01/01/2014","12/31/2014"
"WV","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.575","","01/01/2014","12/31/2014"
"WY","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","1.330","","01/01/2014","12/31/2014"
"AK","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.285","","01/01/2014","12/31/2014"
"AL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.524","","01/01/2014","12/31/2014"
"AR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.431","","01/01/2014","12/31/2014"
"AS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2014","12/31/2014"
"AZ","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.403","","01/01/2014","12/31/2014"
"CA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.409","","01/01/2014","12/31/2014"
"CO","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.336","","01/01/2014","12/31/2014"
"CT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.337","","01/01/2014","12/31/2014"
"DC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.358","","01/01/2014","12/31/2014"
"DE","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.225","","01/01/2014","12/31/2014"
"FL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.472","","01/01/2014","12/31/2014"
"GA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.518","","01/01/2014","12/31/2014"
"GU","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.382","","01/01/2014","12/31/2014"
"HI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.126","","01/01/2014","12/31/2014"
"IA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.315","","01/01/2014","12/31/2014"
"ID","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.170","","01/01/2014","12/31/2014"
"IL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.400","","01/01/2014","12/31/2014"
"IN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.485","","01/01/2014","12/31/2014"
"KS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.346","","01/01/2014","12/31/2014"
"KY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.439","","01/01/2014","12/31/2014"
"LA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.522","","01/01/2014","12/31/2014"
"MA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.343","","01/01/2014","12/31/2014"
"MD","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.422","","01/01/2014","12/31/2014"
"ME","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.612","","01/01/2014","12/31/2014"
"MI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.318","","01/01/2014","12/31/2014"
"MN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.308","","01/01/2014","12/31/2014"
"MO","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.295","","01/01/2014","12/31/2014"
"MP","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2014","12/31/2014"
"MS","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.615","","01/01/2014","12/31/2014"
"MT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.441","","01/01/2014","12/31/2014"
"NC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.338","","01/01/2014","12/31/2014"
"ND","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.259","","01/01/2014","12/31/2014"
"NE","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.431","","01/01/2014","12/31/2014"
"NH","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.424","","01/01/2014","12/31/2014"
"NJ","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.525","","01/01/2014","12/31/2014"
"NM","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.494","","01/01/2014","12/31/2014"
"NV","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.401","","01/01/2014","12/31/2014"
"NY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.383","","01/01/2014","12/31/2014"
"OH","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.334","","01/01/2014","12/31/2014"
"OK","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.330","","01/01/2014","12/31/2014"
"OR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.239","","01/01/2014","12/31/2014"
"PA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.368","","01/01/2014","12/31/2014"
"PR","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.403","","01/01/2014","12/31/2014"
"RI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.341","","01/01/2014","12/31/2014"
"SC","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.418","","01/01/2014","12/31/2014"
"SD","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.134","","01/01/2014","12/31/2014"
"TN","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.405","","01/01/2014","12/31/2014"
"TX","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.425","","01/01/2014","12/31/2014"
"UT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.291","","01/01/2014","12/31/2014"
"VA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.283","","01/01/2014","12/31/2014"
"VI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.914","","01/01/2014","12/31/2014"
"VT","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.144","","01/01/2014","12/31/2014"
"WA","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.351","","01/01/2014","12/31/2014"
"WI","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.272","","01/01/2014","12/31/2014"
"WV","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.372","","01/01/2014","12/31/2014"
"WY","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.175","","01/01/2014","12/31/2014"
"AK","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.101","","01/01/2014","12/31/2014"
"AL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.922","","01/01/2014","12/31/2014"
"AR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.018","","01/01/2014","12/31/2014"
"AS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2014","12/31/2014"
"AZ","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.192","","01/01/2014","12/31/2014"
"CA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.224","","01/01/2014","12/31/2014"
"CO","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.819","","01/01/2014","12/31/2014"
"CT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.700","","01/01/2014","12/31/2014"
"DC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.874","","01/01/2014","12/31/2014"
"DE","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.291","","01/01/2014","12/31/2014"
"FL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.025","","01/01/2014","12/31/2014"
"GA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.315","","01/01/2014","12/31/2014"
"GU","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"HI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.746","","01/01/2014","12/31/2014"
"IA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.014","","01/01/2014","12/31/2014"
"ID","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.046","","01/01/2014","12/31/2014"
"IL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.085","","01/01/2014","12/31/2014"
"IN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.231","","01/01/2014","12/31/2014"
"KS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.064","","01/01/2014","12/31/2014"
"KY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.094","","01/01/2014","12/31/2014"
"LA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.955","","01/01/2014","12/31/2014"
"MA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.470","","01/01/2014","12/31/2014"
"MD","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.614","","01/01/2014","12/31/2014"
"ME","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.524","","01/01/2014","12/31/2014"
"MI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.253","","01/01/2014","12/31/2014"
"MN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.442","","01/01/2014","12/31/2014"
"MO","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.263","","01/01/2014","12/31/2014"
"MP","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2014","12/31/2014"
"MS","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.129","","01/01/2014","12/31/2014"
"MT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.978","","01/01/2014","12/31/2014"
"NC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.267","","01/01/2014","12/31/2014"
"ND","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.844","","01/01/2014","12/31/2014"
"NE","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.448","","01/01/2014","12/31/2014"
"NH","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.240","","01/01/2014","12/31/2014"
"NJ","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.272","","01/01/2014","12/31/2014"
"NM","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.396","","01/01/2014","12/31/2014"
"NV","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.093","","01/01/2014","12/31/2014"
"NY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.193","","01/01/2014","12/31/2014"
"OH","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.994","","01/01/2014","12/31/2014"
"OK","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.921","","01/01/2014","12/31/2014"
"OR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.119","","01/01/2014","12/31/2014"
"PA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.176","","01/01/2014","12/31/2014"
"PR","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.532","","01/01/2014","12/31/2014"
"RI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.427","","01/01/2014","12/31/2014"
"SC","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.308","","01/01/2014","12/31/2014"
"SD","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.501","","01/01/2014","12/31/2014"
"TN","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.235","","01/01/2014","12/31/2014"
"TX","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.128","","01/01/2014","12/31/2014"
"UT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.569","","01/01/2014","12/31/2014"
"VA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.085","","01/01/2014","12/31/2014"
"VI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","4.089","","01/01/2014","12/31/2014"
"VT","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.992","","01/01/2014","12/31/2014"
"WA","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.270","","01/01/2014","12/31/2014"
"WI","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.086","","01/01/2014","12/31/2014"
"WV","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.779","","01/01/2014","12/31/2014"
"WY","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.876","","01/01/2014","12/31/2014"
"AK","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.707","","01/01/2014","12/31/2014"
"AL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.005","","01/01/2014","12/31/2014"
"AR","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.154","","01/01/2014","12/31/2014"
"AS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2014","12/31/2014"
"AZ","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.305","","01/01/2014","12/31/2014"
"CA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.274","","01/01/2014","12/31/2014"
"CO","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.932","","01/01/2014","12/31/2014"
"CT","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.874","","01/01/2014","12/31/2014"
"DC","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.067","","01/01/2014","12/31/2014"
"DE","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.643","","01/01/2014","12/31/2014"
"FL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.075","","01/01/2014","12/31/2014"
"GA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.403","","01/01/2014","12/31/2014"
"GU","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","2.688","","01/01/2014","12/31/2014"
"HI","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","0.999","","01/01/2014","12/31/2014"
"IA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.200","","01/01/2014","12/31/2014"
"ID","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.339","","01/01/2014","12/31/2014"
"IL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.164","","01/01/2014","12/31/2014"
"IN","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.336","","01/01/2014","12/31/2014"
"KS","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.219","","01/01/2014","12/31/2014"
"KY","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.204","","01/01/2014","12/31/2014"
"LA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.053","","01/01/2014","12/31/2014"
"MA","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.580","","01/01/2014","12/31/2014"
"MD","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.751","","01/01/2014","12/31/2014"
